"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ID","GeneSymbol"
"203037_s_at",-0.40930457101215,10.8324198275,-7.19527705086472,3.1503866298463e-08,0.000574157963289488,7.69037135938384,"203037_s_at","MTSS1"
"224840_at",-1.87527703121053,9.89007721328125,-6.74647014636441,1.13624009691176e-07,0.0010599574465768,6.68473726981505,"224840_at","FKBP5"
"222421_at",-0.669606263331984,9.57974618846875,-6.71531966845125,1.24289268726818e-07,0.0010599574465768,6.6138482931659,"222421_at","UBE2H"
"227949_at",-1.43851562710122,7.2741339224375,-6.35660066207277,3.51189660730576e-07,0.00240016183755553,5.78811559611916,"227949_at","PHACTR3"
"227642_at",-1.42746846471255,8.191211989,-6.17679363176535,5.93110390527212e-07,0.00360314562245281,5.36816795490271,"227642_at","TFCP2L1"
"224856_at",-1.49070212429554,6.89628045353125,-6.13861368092226,6.63087242818503e-07,0.00362542950011016,5.27852085957187,"224856_at","FKBP5"
"219319_at",-0.466187078497978,6.44281150078125,-5.57586870606212,3.45659313705047e-06,0.0171808390698395,3.94076818020675,"219319_at","HIF3A"
"205609_at",-0.929613591935223,5.95308761175,-5.52249620576644,4.04441443332379e-06,0.0184273632618315,3.81256597907892,"205609_at","ANGPT1"
"208763_s_at",-1.18032333703644,7.95890148875,-5.47960751299942,4.5885404342136e-06,0.0192983421723561,3.70941772545772,"208763_s_at","TSC22D3"
"226383_at",0.302891682275302,7.9564164871875,5.39881914063731,5.8203223782617e-06,0.0227304375736756,3.51483643621624,"226383_at","ARL14EP"
